35	45
41	42
46	37
50	32
57	27
62	24
65	23
68	23
69	26
69	29
69	32
68	36
67	39
65	41
64	45
62	46
59	48
55	49
53	52
49	53
47	56
45	60
45	61
45	63
47	65
50	65
52	66
54	66
56	66
60	69
62	72
62	74
62	76
61	78
59	80
55	82
52	82
49	82
45	82
42	82
39	82
35	82
33	82
30	82
30	81
31	66
28	66
25	62
23	59
22	55
22	52
22	47
23	42
25	39
27	36
30	33
33	31
35	30
38	29
41	29
42	30
43	31
45	34
46	36
48	39
50	41
53	43
57	45
60	46
62	48
63	50
64	51
64	53
64	56
64	58
64	61
63	65
62	68
60	69
56	72
52	73
48	74
44	74
42	74
40	74
38	73
36	72
34	70
33	69
32	67
31	65
30	63
30	21
30	21
34	21
41	20
46	19
50	18
51	17
51	16
58	27
58	27
